,actual,predicted,diff
0,470.8,483.03333,12.23
1,456.2,462.68298,6.48
2,394.5,417.08154,22.58
3,391.8,402.15448,10.35
4,409.0,410.78864,1.79
5,374.6,405.31305,30.71
6,381.0,390.19983,9.2
7,346.2,361.27158,15.07
8,309.0,338.461,29.46
9,708.1,775.6895,67.59
10,679.0,730.5302,51.53
11,674.3,748.38605,74.09
12,691.4,753.9023,62.5
13,656.0,726.2779,70.28
14,662.2,721.77985,59.58
15,324.0,451.57108,127.57
16,680.4,591.5701,88.83
17,888.6,921.22186,32.62
18,855.1,942.91327,87.81
19,475.9,615.6416,139.74
20,308.0,378.25455,70.25
21,207.4,271.95963,64.56
22,228.7,281.11667,52.42
23,248.0,294.73083,46.73
24,217.6,270.68298,53.08
25,204.7,271.26923,66.57
26,215.7,273.25812,57.56
27,213.9,269.8731,55.97
